source,target,commodity_code,weight
CO,TX,02,27550453.08834839
CO,WA,02,72202856.17605591
DE,MD,02,13138096.850961685
DE,NC,02,19845.0
DE,PA,02,14301301.756896973
FL,GA,02,49508625.3503418
GA,AL,02,11721399.5
GA,FL,02,44763485.65426636
GA,MO,02,6153999.962646484
GA,SC,02,56084558.56695557
GA,TN,02,39995479.99102783
ID,AL,02,6932.5999965667725
ID,AZ,02,244476.90981292725
ID,AR,02,6094710.649612427
ID,CA,02,18119966.719010353
ID,CO,02,4632611.92341423
ID,FL,02,20208.0
ID,GA,02,6292826.8901901245
ID,IL,02,923.4000434875488
ID,IN,02,388.8000183105469
ID,IA,02,1056866.759399414
ID,KS,02,1720710.3165893555
ID,KY,02,10497.600494384766
ID,LA,02,1435.5
ID,MI,02,3673.5999145507812
ID,MN,02,30922363.168891907
ID,MO,02,1596.5
ID,MT,02,727958.5001411438
ID,NV,02,24882992.827651978
ID,NM,02,2152698.3728485107
ID,NY,02,1393.9999675750732
ID,NC,02,2992.89999294281
ID,OH,02,4406643.143136978
ID,OK,02,4854.399887084961
ID,OR,02,32628025.492340088
ID,TN,02,3465988.326599121
ID,TX,02,194.40000915527344
ID,UT,02,64589742.10131264
ID,VA,02,1069.200050354004
ID,WA,02,6421120.720813751
ID,WI,02,6244616.913772583
ID,WY,02,1437.8000173568726
IL,AL,02,48178668.71669388
IL,CA,02,42538957.69591808
IL,FL,02,63949702.492528915
IL,GA,02,387643491.593565
IL,IN,02,419557810.74352264
IL,IA,02,34477948.46623993
IL,LA,02,3228793883.799679
IL,MD,02,5673783.6826171875
IL,MI,02,35164686.85546875
IL,MN,02,3410852.498483658
IL,MS,02,50344286.75066948
IL,MO,02,260391202.88864517
IL,NC,02,37859436.479148865
IL,PA,02,23599366.573741913
IL,TN,02,26043164.96452236
IL,TX,02,113606433.6020813
IL,WA,02,7481793.84412384
IL,WI,02,15996164.452898026
IN,AL,02,17239390.518823624
IN,CA,02,2433753.503173828
IN,CO,02,57018109.88079834
IN,FL,02,59155150.73399353
IN,GA,02,1064374463.0973854
IN,IL,02,83362209.60048962
IN,IA,02,1626837.98387146
IN,KS,02,844531.4844741821
IN,KY,02,14881961.004756927
IN,LA,02,667025427.20718
IN,MD,02,27421189.538038254
IN,MI,02,14381783.22693634
IN,MN,02,402311.90313720703
IN,MO,02,9398563.3828125
IN,NE,02,481328.601272583
IN,NJ,02,2123060.4887695312
IN,NY,02,6808912.9343185425
IN,NC,02,74852755.08139992
IN,OH,02,60934872.91748428
IN,PA,02,4671293.704833984
IN,SC,02,137823525.0
IN,SD,02,574109.8954925537
IN,TN,02,65763060.43130493
IN,TX,02,235682.99483299255
IN,VA,02,17731547.473632812
IN,WI,02,23643924.21446991
IA,CO,02,16851759.7016716
IA,ID,02,947734.8739318848
IA,IL,02,42707027.55995178
IA,IN,02,19259445.51309204
IA,KS,02,27870199.329956055
IA,LA,02,119670853.32462788
IA,MI,02,913997.0001068115
IA,MN,02,36015368.90350723
IA,MO,02,7752108.53125
IA,NE,02,126173822.5043602
IA,ND,02,9118774.250869751
IA,OH,02,9622.799865722656
IA,OK,02,368708.4050960541
IA,SD,02,1360596.2777404785
IA,TX,02,282832110.4140854
IA,VT,02,10052.999725341797
IA,WI,02,11035460.308364868
KS,AL,02,754342.1989173889
KS,AZ,02,59157086.309093475
KS,AR,02,67340704.90133667
KS,CA,02,86734864.21520996
KS,MA,02,34488603.03865814
KS,MO,02,240846513.04348755
KS,NE,02,63435427.76074219
KS,NC,02,105076442.74944305
KS,OK,02,368496651.8566475
KS,PA,02,25033502.812553406
KS,TX,02,1456778189.6600113
KY,CA,02,716549.9030838013
KY,CO,02,296881.2063446045
KY,FL,02,238085.9034729004
KY,GA,02,18826950.623199463
KY,IL,02,212720223.96087646
KY,IN,02,4818439.316178322
KY,KS,02,114805.69985198975
KY,LA,02,217542968.87813282
KY,ME,02,580215.0
KY,MI,02,207159.49953460693
KY,NV,02,68320.0
KY,NC,02,80305.49879837036
KY,OH,02,2539737.5009269714
KY,OR,02,1314.7999420166016
KY,PA,02,529123.8158187866
KY,TN,02,23310440.908809662
KY,TX,02,827728.600692749
KY,VA,02,6813721.701034546
KY,WI,02,491956.1042022705
LA,AR,02,2856136.407310486
LA,MS,02,37635928.16773605
ME,NY,02,20249.80037498474
MD,DE,02,105618087.84748459
MD,PA,02,88171053.72306061
MD,VA,02,10449734.204742432
MD,WA,02,544468.7914123535
MA,CA,02,2328810.503189087
MA,CO,02,45755.69985961914
MA,FL,02,51206.80191040039
MA,GA,02,6628.100120544434
MA,IL,02,796776.8196411133
MA,IN,02,954221.5001678467
MA,ME,02,38490.0
MA,MI,02,874026.3416442871
MA,MO,02,514637.39379119873
MA,NV,02,588726.9038619995
MA,NH,02,1088492.3935546875
MA,NJ,02,219457.0
MA,NY,02,4754458.964904785
MA,NC,02,518127.3077774048
MA,OH,02,502174.70461273193
MA,PA,02,566498.4212646484
MA,RI,02,5560693.529418945
MA,SC,02,17443.999786376953
MA,TX,02,4547195.143539429
MA,WI,02,685153.888168335
MI,CO,02,208952.8963394165
MI,DE,02,6524483.474197388
MI,DC,02,3879.199951171875
MI,FL,02,19664.799926757812
MI,GA,02,38682.69934082031
MI,IN,02,29874689.540837288
MI,IA,02,150660.19581604004
MI,MD,02,11518.80029296875
MI,MA,02,21192.300048828125
MI,MN,02,10064.500122070312
MI,NJ,02,11601.599853515625
MI,NY,02,50160.99987792969
MI,NC,02,151730556.59835815
MI,OH,02,26490443.242240906
MI,PA,02,99258.60046386719
MI,TN,02,13658.399658203125
MI,VA,02,17293.5
MI,WV,02,25320.099853515625
MI,WI,02,177680.2053527832
MN,AL,02,9454346.840147018
MN,AZ,02,7829104.643920898
MN,CA,02,175265875.77643204
MN,CO,02,1238789.8177509308
MN,FL,02,20634228.75015831
MN,GA,02,9049747.860565186
MN,ID,02,75998911.39453125
MN,IL,02,31750262.999032974
MN,IN,02,21608892.43347168
MN,IA,02,260227780.55535126
MN,KS,02,249375870.57216454
MN,LA,02,660833574.6409245
MN,ME,02,1477608.0
MN,MO,02,32956399.583644867
MN,NV,02,5646707.75869751
MN,NJ,02,7651937.837188721
MN,NY,02,28995410.817504883
MN,NC,02,7944422.743774414
MN,ND,02,893654995.1226597
MN,OH,02,262074522.6675167
MN,OR,02,1225560.0
MN,PA,02,38980108.66715336
MN,RI,02,3391551.951904297
MN,SD,02,10073681.421419144
MN,TN,02,18220800.199393272
MN,TX,02,127542842.76868057
MN,UT,02,483445.6066894531
MN,VA,02,9017687.0
MN,WA,02,1651467974.273262
MN,WI,02,15335736.91076088
MS,AL,02,8788191.504107475
MS,FL,02,301375.8089904785
MS,GA,02,3401993.921005249
MS,LA,02,49266829.345443726
MS,TN,02,9993307.500473022
MO,AZ,02,202266942.061203
MO,AR,02,38488347.9723587
MO,CA,02,306700515.573822
MO,GA,02,48570386.26351547
MO,IL,02,80504550.23979568
MO,IA,02,1249352.1425170898
MO,KS,02,4377027.807792664
MO,LA,02,255111015.5137682
MO,MD,02,358444.8108520508
MO,MS,02,109171353.91940308
MO,NE,02,1469866.1640625
MO,NC,02,1087600.0
MO,OK,02,2393945.4253845215
MO,PA,02,2765961.0
MO,TX,02,771869926.5925312
MO,VA,02,42605655.0
MT,CA,02,9278475.05203247
MT,MD,02,52690404.95084381
MT,MN,02,64945275.22692108
MT,NY,02,149347.80535888672
MT,ND,02,209259793.17108154
MT,OR,02,635534960.539196
MT,SC,02,1279555.2451171875
MT,TX,02,441254.0
MT,UT,02,9940621.461914062
MT,VA,02,3623333.9349365234
MT,WA,02,674088994.526062
NE,AL,02,16055511.84008789
