origin,destination,trade_value_usd
KS,NM,389898919.4697685
KS,NY,2650346216.1975784
KS,NC,1859713072.4497926
KS,ND,519961824.9578819
KS,OH,2525852667.9272776
KS,OK,6019914522.798418
KS,OR,591507048.9761825
KS,PA,2707374523.3208094
KS,RI,42376092.41300297
KS,SC,908893142.1554937
KS,SD,424810615.1253643
KS,TN,2211663317.899627
KS,TX,11849415246.519588
KS,UT,528935990.4091444
KS,VT,81355665.47402
KS,VA,957013205.8690276
KS,RoW,11611416798.17585
KS,WA,7366248222.86447
KS,WV,91059494.83557034
KS,WI,2093983164.7763414
KS,WY,369075013.99816513
KY,AL,3712414999.736143
KY,AK,72427633.9304161
KY,AZ,1314928885.3655138
KY,AR,1014580616.3347845
KY,CA,8559762401.366727
KY,CO,1080238323.4468718
KY,CT,1120858102.6901407
KY,DE,333559834.1901617
KY,DC,145851575.20617294
KY,FL,8102173146.141857
KY,GA,5998140550.414475
KY,HI,87587645.0778284
KY,ID,138870637.08040237
KY,IL,9277316865.318869
KY,IN,13307204843.15787
KY,IA,1412486537.482852
KY,KS,1382061881.7810616
KY,LA,3033257028.823305
KY,ME,604663466.8356667
KY,MD,1842148297.9003286
KY,MA,2169340850.9068437
KY,MI,9667405377.470488
KY,MN,1953492551.303893
KY,MS,2674253288.3054495
KY,MO,6458988318.294303
KY,MT,234421339.43121243
KY,NE,1408307184.925167
KY,NV,790313730.60501
KY,NH,728683415.5143943
KY,NJ,3416532411.0026736
KY,NM,277785879.2599888
KY,NY,3938130359.6694837
KY,NC,5021963331.092398
KY,ND,1342316130.0932064
KY,OH,15272200707.240095
KY,OK,876393657.068963
KY,OR,856780957.5934649
KY,PA,7154496161.38718
KY,RI,121041649.27286434
KY,SC,3418081273.038747
KY,SD,176566578.04077178
KY,TN,17449146577.42244
KY,TX,13665737913.354208
KY,UT,668396222.6364121
KY,VT,111289502.56236744
KY,VA,4347473122.287245
KY,RoW,32417067974.505245
KY,WA,2234976148.2460604
KY,WV,5048373147.913036
KY,WI,3160463809.8845153
KY,WY,310521834.1541363
LA,AL,3115758938.6076627
LA,AK,50224526.300582886
LA,AZ,636714590.5591164
LA,AR,1836429833.3395247
LA,CA,4713868740.405127
LA,CO,428866425.2195568
LA,CT,1508787762.9263077
LA,DE,245848289.07886314
LA,DC,66678904.2711525
LA,FL,8672893658.368513
LA,GA,5759035087.569825
LA,HI,3692685.2126750946
LA,ID,87758503.93188286
LA,IL,5602122233.308346
LA,IN,1137829741.6221566
LA,IA,1853249995.2090816
LA,KS,721848404.5382338
LA,KY,1779072848.3656723
LA,ME,48982992.893880844
LA,MD,386387368.0169554
LA,MA,441162571.7966862
LA,MI,1838111859.3902974
LA,MN,1299940459.7280667
LA,MS,12318713360.235445
LA,MO,1499749969.1609683
LA,MT,80227346.0855875
LA,NE,597833311.1557703
LA,NV,232452616.5413494
LA,NH,35289638.40594101
LA,NJ,1671446940.8568187
LA,NM,363708381.17593575
LA,NY,1088345306.593361
LA,NC,1644813335.7131147
LA,ND,451957882.4312315
LA,OH,4027898472.0197206
LA,OK,1247269648.2297354
LA,OR,463534791.32101583
LA,PA,2763457956.3021803
LA,RI,36119862.82795334
LA,SC,2211020227.6187544
LA,SD,40922974.11798477
LA,TN,4625927077.607811
LA,TX,35294990633.7217
LA,UT,335401507.4808656
LA,VT,18376678.169834137
LA,VA,2317534849.0780582
LA,RoW,58263652455.86494
LA,WA,359978736.1044321
LA,WV,452637075.1115322
LA,WI,725023874.0109314
LA,WY,104789743.13021088
MA,AL,1525410124.5189314
MA,AK,127062271.80889511
MA,AZ,1850568149.078189
MA,AR,350323594.33506966
MA,CA,10725453320.981548
MA,CO,1659425842.6232643
MA,CT,14325006231.039108
MA,DE,407233960.9125347
MA,DC,350573863.71728516
MA,FL,6187683924.093239
MA,GA,2901712973.1984534
MA,HI,1351563113.2104495
MA,ID,123794436.11198807
MA,IL,3642690541.922295
MA,IN,3188260308.9279466
MA,IA,756699508.4120159
MA,KS,497851978.50260353
MA,KY,1358429770.3479662
MA,LA,950979373.984211
MA,ME,6623903488.332511
